英文,中文(DM),中文(github),中文(内部),日文
Output directory,输出目录,输出目录,输出目录,出力ディレクトリ
Iterate seed every line,每行输入都换一个随机种子,每行输入都换一个随机种子,每行输入都换一个随机种子,1行ごとにシードを1増やす
bilinear,,,,bilinear
Search and Replace in,检索范围,,,～で検索して置換します。
ur,,,,ur
Apply changes to filtered images,将更改应用于筛选出的图像,,,フィルタリングされた画像に変更を適用する
set: Stores a value into a given variable.,,,,set: 指定された変数に値を格納します。
enable_multi_images,,,,enable_multi_images
Pruning Methods,压缩方案,压缩方案,压缩方案,
Specify the amount that you wish to expand the mask by (recommend 30),,,蒙版外扩的像素（推荐30）,
weird,,,,奇妙
Detection Detailer,检测细致化,检测细致化,检测细致化,Detection Detailer
ControlNet v1.1.190,扩散控制网络(ControlNet),,,
mask image:,蒙版图像,,蒙版,マスク画像:
sd-webui-3d-open-pose-editor,3D Openpose 编辑器插件,,,
AddNet TEnc Weight 2,[附加网络] Text Encoder 权重 2,[可选附加网络] Text Encoder 权重 2,[可选附加网络] Text Encoder 权重 2,TEncの重み 2(AddNet)
tp__iciba,,,,tp__iciba
border,,边框,边框,ボーダー
GroundingDINO Model (Auto download from huggingface),GroundingDINO 模型（自动从 huggingface 下载）,,GroundingDINO模型(如果没有将从huggingface下载),
sd-webui-tome,"词元合并加速(Token Merging, ToMe)插件",,,
Exported Text,导出文本,,,
Import a model from Huggingface.co instead of using a local checkpoint.,从 Huggingface.co 导入模型而非使用本地的 Stable Diffusion 模型(ckpt),从 Huggingface.co 导入模型而非使用本地的模型(ckpt),从 Huggingface.co 导入模型而非使用本地的模型(ckpt),
digipa-med-impact,,,,digipaハイインパクト
System,系统,系统,系统,システム設定
ControlNet v1.1.187,扩散控制网络(ControlNet),,,
How to use,使用方法,,,
AddNet Model 3,[附加网络] 模块 3,[可选附加网络] 模型 3,[可选附加网络] 模型 3,モデル 3(AddNet)
OUT_A_05,,模型A 输出层05,模型A 输出层05,
Max magic prompt length,魔法提示词最大长度,魔法提示词最大长度,魔法提示词最大长度,Magic prompt の最大長
Move,,,,移動
ControlNet v1.1.287,扩散控制网络(ControlNet),,,
UniPC skip type,UniPC 跳过形式,UniPC 采样跳过类型 (t_uniform适合512及更高分辨率；logSNR适合低分辨率，否则会出现不合理的细节；t_quadratic略好于logSNR),UniPC 采样跳过类型 (t_uniform适合512及更高分辨率；logSNR适合低分辨率，否则会出现不合理的细节；t_quadratic略好于logSNR),UniPC スキップの種類
spaceship-scribbles,,,,宇宙船 落書き
Enable Region 3,启用此区域,,启用区域 3,
ExtraNetwork default card size,附加网络缩略图默认大小,,,
Generates anime tags using databases and models for tokenizing.,,,,データベースやモデルを使ってアニメのタグを生成し、トークン化する。
zh_Hans Localization,,,,zh_Hans Localization
Sort LoRA models by,LoRA 模型的排序方式,LoRA 模型的排序方式,LoRA 模型的排序方式,LoRAの並び替え
"(ENSD; does not improve anything, just produces different results for ancestral samplers - only useful for reproducing images)",,,（ENSD这个参数并不会改善什么，它会影响先祖采样的结果，大多数情况它被用来重现图片）,
"Will show your current sd model selected. Also showing if you are idle, or generating something - in that case, total image/s being generated.",,,,ステータスに、現在選択されているsdのモデルが表示されます。また、アイドル状態であるか、何かを生成しているか（その場合、秒あたりの生成枚数）も表示されます。
Scribble Mode (Invert colors),涂鸦模式（反色，强制预处理器重新识别）,涂鸦模式（反色，强制预处理器重新识别）,涂鸦模式（反色，强制预处理器重新识别）,
ControlNet v1.1.210,扩散控制网络(ControlNet),,,
ControlNet v1.1.289,扩散控制网络(ControlNet),,,
Exclude tags (split by comma),排除以下标签(逗号分隔),排除以下标签(逗号分隔),排除以下标签(逗号分隔),除外タグ (カンマで区切る)
Inter Blur:,,,,Inter Blur:
Token merging ratio for high-res pass,,,高清修复Token合并率,
[ControlNet] Guidance Strength,[ControlNet] 引导强度,[ControlNet] 引导强度,[ControlNet] 引导强度,
LLuL Upscaler AA,,,,LLuLアップスケーラーAA
OUT_A_00,,模型A 输出层00,模型A 输出层00,
Accent Generate Button,高亮 “生成” 按钮,,,
IN_B_09,,模型B 输入层09,模型B 输入层09,
+50%,,,,+50%
end at this step,结束分区的迭代步数(steps)（建议设为150）,迭代止步于,迭代止步于,このステップで終了
ca,,,,ca
Guidance strength (T),引导强度（Guidance strength）,引导强度（迭代参与%，Guidance strength）,引导强度（迭代参与%，Guidance strength）,
https://github.com/Maurdekye/training-picker.git,,,,https://github.com/Maurdekye/training-picker.git
Refresh wildcards,,,,ワイルドカードの一覧を更新する
Prompt (press Ctrl+Enter or Alt+Enter to generate),提示词（按 Ctrl+Enter 或 Alt+Enter 生成）\nPrompt,提示词（按 Ctrl+Enter 或 Alt+Enter 生成）\nPrompt,提示词（按 Ctrl+Enter 或 Alt+Enter 生成）\nPrompt,プロンプト (Ctrl+Enter か Alt+Enter を押して生成)
Denoising strength for face images,,,面部重绘幅度,
Refresh TAC temp files,,,刷新“Tag自动填充”临时文件,
Separate values for Y axis using commas.,使用逗号分隔 Y 轴的值,使用逗号分隔 Y 轴的值,使用逗号分隔 Y 轴的值,"Y軸に用いる値をカンマ(,)で区切って入力してください。"
"Scanning takes time, just wait. Check console log for detail",扫描用时较长，开始扫描后，请打开控制台以获得详细信息和日志，如遇报错，请先访问C站网页确认C站是否崩溃，C站恢复访问后，可再次开始扫描，扫描继承之前的进度，其他详细信息见插件GitHub页面,请稍等，扫描会持续一段时间，请在控制台查看详细信息。,请稍等，扫描会持续一段时间，请在控制台查看详细信息。,
Hide caption,,,,キャプションを非表示にする
Flatfile,,纯文字文件,纯文字文件,
ControlNet v1.1.136,扩散控制网络(ControlNet),,,
Prompt Fusion,,,提示词融合,
stable-diffusion-webui-daam,,,,stable-diffusion-webui-daam
Vector,向量,向量,向量,ベクトル
Copy Metadata,开始复制元数据,开始复制元数据,开始复制元数据,メタデータをコピー
enter any additional notes,输入附加说明,,,
Ending index of the substring ? end,,,,部分文字列の末尾インデックス ? end
Euler a,Euler a,,,Euler a
COMMANDLINE_ARGS,,,,COMMANDLINE_ARGS
2D or 3D animation_mode,,,,2D または 3D アニメーションモード
https://github.com/toriato/stable-diffusion-webui-wd14-tagger.git,,,,https://github.com/toriato/stable-diffusion-webui-wd14-tagger.git
Other Setting,其他设置,其他设置,其他设置,
up,上,上,上,上
1. Get Model Info by Civitai Url,1.使用 Civitai 链接获取模型信息,1. 从网址获取模型信息,1. 从网址获取模型信息,
framesync.xyz,,,,framesync.xyz
Fps. 0=Original,,,,Fps. 0=Original
Select components to hide,选择需要隐藏的选项,,选择要隐藏的组件,非表示にするコンポーネントを選択
The seed to use when generating samples. Set to -1 to use a random seed every time.,生成样本时使用的随机种子。设置为 -1 时每次都使用随机的种子,生成样本时使用的随机种子。设置为 -1 时每次都使用随机的种子,生成样本时使用的随机种子。设置为 -1 时每次都使用随机的种子,
Optical Flow,,,,オプティカルフロー
Classification CFG Scale,分类提示词相关性(Classification CFG scale),分类提示词相关性(Classification CFG scale),分类提示词相关性(Classification CFG scale),分類CFGスケール
OUT09,,输出层09,输出层09,
Update Extension and Restart,,,,拡張機能を更新して再起動
txt2mask,,,,txt2mask
Input,,,,入力
Contrast schedule,,,,コントラストのスケジュール
Area 2 Weight,蒙版 2 的权重(Weight),,,
EMA (nagetive),EMA (负),EMA (负),EMA (负),EMA（ネガティブ）
Cond.fix: Lowest,修复时调节：最小,修复时调节：最小,修复时调节：最小,Cond.fix: 最低値
Prepend,前置反推结果,,,先頭に加える
Enable webcam,,,打开摄像头,
Cardssize,卡片尺寸（附加网络面板）,卡片尺寸（附加网络面板）,卡片尺寸（附加网络面板）,
Token Merging - Stride Y,步幅 Y,,,
"(0=disable, higher=faster)",,,（0=关闭，此参数越高速度也越快）,
Color sketch inpainting,,,,インペイントで使用するカラースケッチ
Editing Enabled,开启元数据编辑,开启元数据编辑,开启元数据编辑,編集が有効
house-special,,,,家-特別
(Optional) Path to directory with classification/regularization images,（可选）带有分类/规范化图像的目录路径,（可选）带有分类/规范化图像的目录路径,（可选）带有分类/规范化图像的目录路径,（オプション）分類/正規化画像が含まれるディレクトリへのパス
script,脚本,脚本,脚本,スクリプト
(in pixels),,,（单位：像素）,
both,全部恢复,,两者全部,
ControlNet v1.1.215,扩散控制网络(ControlNet),,,
Translated Text,译文,,,翻訳された文字列
Training,训练,训练,训练,学習
Color,,,,色調補正
Card height for Extra Networks,,,附加网络卡片高度,
gray,,,,グレー
Find the first index of the following value(s) ? _find,,,,次の値の最初のインデックスを見つける <unk> _find
hash,哈希值,哈希,哈希,ハッシュ値
(B4) Secondary,,(B4) 第二,(B4) 第二,
Comment ? str,,,,コメント ? str
Anti Blur,,,,アンチブラー
Full res mask padding,,,,フル解像度マスク パディング
Fine tunes the dynamic blur algorithm for DFI map. Lower = Stronger blur effects. Between 2-3 recommended.,,,,Fine tunes the dynamic blur algorithm for DFI map. Lower = Stronger blur effects. Between 2-3 recommended.
Never,,,从不,
openOutpaint-webUI-extension,,,,openOutpaint-webUI-extension
Hybrid Video,,,,ハイブリッドビデオ
Applies mirroring and flips to the latent images to produce anything from subtle balanced compositions to perfect reflections,将图像的潜空间状态进行镜像和翻转，以生成从轻度平衡的构图到完全对称的任何图像,将潜变量状态的图像进行镜像和翻转，以生成从轻度平衡的构图到完全对称的任何图像,将潜变量状态的图像进行镜像和翻转，以生成从轻度平衡的构图到完全对称的任何图像,微妙なバランスの取れた構成から完璧な反射まで、あらゆるものを作り出すために潜在的な画像にミラーリングとフリップを適用します。
Generate Graph,,,,グラフを作成する
Maximum width,,,最大宽度,
Create hypernetwork,创建超网络(Hypernetwork),创建超网络(Hypernetwork),创建超网络(Hypernetwork),Hypernetworkを作成
https://github.com/kohya-ss/sd-webui-additional-networks.git,,,,https://github.com/kohya-ss/sd-webui-additional-networks.git
lineart_coarse,线稿提取（lineart 模型，针对草稿）,,线稿提取-草稿（lineart_coarse）,
Include original image in output window ? include_original,,,,出力ウィンドウにオリジナル画像を含める ? include_original
extra-options-section,,,额外选项,
calculate dimension of LoRAs(It may take a few minutes if there are many LoRAs),计算维度（LoRA过多将拖慢速度）,,,
sets: The atomic version of [set] that lets you set multiple variables at once.,,,,sets: 1度に複数の変数を設定できる[set]のアトミック版です。
